,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
score,number,total,,,,
721,299,299,,,,
721,30,329,,,,
720,30,359,,,,
719,27,386,,,,
718,35,421,,,,
717,31,452,,,,
716,38,490,,,,
715,39,529,,,,
714,39,568,,,,
713,43,611,,,,
712,55,666,,,,
711,41,707,,,,
710,55,762,,,,
709,61,823,,,,
708,65,888,,,,
707,72,960,,,,
706,75,1035,,,,
705,53,1088,,,,
704,74,1162,,,,
703,75,1237,,,,
702,98,1335,,,,
701,82,1417,,,,
700,79,1496,,,,
699,86,1582,,,,
698,84,1666,,,,
697,107,1773,,,,
696,105,1878,,,,
695,119,1997,,,,
694,109,2106,,,,
693,126,2232,,,,
692,124,2356,,,,
691,121,2477,,,,
690,106,2583,,,,
689,140,2723,,,,
688,133,2856,,,,
687,137,2993,,,,
686,157,3150,,,,
685,149,3299,,,,
684,139,3438,,,,
683,149,3587,,,,
682,175,3762,,,,
681,186,3948,,,,
680,156,4104,,,,
679,200,4304,,,,
678,180,4484,,,,
677,203,4687,,,,
676,212,4899,,,,
675,187,5086,,,,
674,199,5285,,,,
673,208,5493,,,,
672,237,5730,,,,
671,230,5960,,,,
670,250,6210,,,,
669,261,6471,,,,
668,253,6724,,,,
667,246,6970,,,,
666,253,7223,,,,
665,288,7511,,,,
664,288,7799,,,,
663,268,8067,,,,
662,259,8326,,,,
661,268,8594,,,,
660,302,8896,,,,
659,307,9203,,,,
658,303,9506,,,,
657,295,9801,,,,
656,314,10115,,,,
655,324,10439,,,,
654,316,10755,,,,
653,336,11091,,,,
652,369,11460,,,,
651,392,11852,,,,
650,348,12200,,,,
649,330,12530,,,,
648,333,12863,,,,
647,337,13200,,,,
646,365,13565,,,,
645,366,13931,,,,
644,399,14330,,,,
